Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,2013,2013,ha,163433,A,Official figure
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,2014,2014,ha,168700,A,Official figure
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,2015,2015,ha,167816,A,Official figure
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,2016,2016,ha,174694,A,Official figure
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,2017,2017,ha,197162,A,Official figure
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,2018,2018,ha,178225,A,Official figure
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,2019,2019,ha,178272,A,Official figure
QCL,Crops and livestock products,24,Angola,5312,Area harvested,1530,Sweet potatoes,2020,2020,ha,182750,I,Imputed value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1961,1961,hg/ha,60000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1962,1962,hg/ha,66667,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1963,1963,hg/ha,73529,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1964,1964,hg/ha,77778,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1965,1965,hg/ha,83333,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1966,1966,hg/ha,78125,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1967,1967,hg/ha,85294,E,Estimated value
