,Unnamed: 0.1,Unnamed: 0,Country,Year,Area harvested,Yield,Production,cloud_cover_01,snow_thickness_lwe_01,snow_thickness_01,vapour_pressure_01,2m_temperature_01,10m_wind_speed_01,2m_dewpoint_temperature_01,cloud_cover_02,snow_thickness_lwe_02,snow_thickness_02,vapour_pressure_02,2m_temperature_02,10m_wind_speed_02,2m_dewpoint_temperature_02,cloud_cover_03,snow_thickness_lwe_03,snow_thickness_03,vapour_pressure_03,2m_temperature_03,10m_wind_speed_03,2m_dewpoint_temperature_03,cloud_cover_04,snow_thickness_lwe_04,snow_thickness_04,vapour_pressure_04,2m_temperature_04,10m_wind_speed_04,2m_dewpoint_temperature_04,cloud_cover_05,snow_thickness_lwe_05,snow_thickness_05,vapour_pressure_05,2m_temperature_05,10m_wind_speed_05,2m_dewpoint_temperature_05,cloud_cover_06,snow_thickness_lwe_06,snow_thickness_06,vapour_pressure_06,2m_temperature_06,10m_wind_speed_06,2m_dewpoint_temperature_06,cloud_cover_07,snow_thickness_lwe_07,snow_thickness_07,vapour_pressure_07,2m_temperature_07,10m_wind_speed_07,2m_dewpoint_temperature_07,cloud_cover_08,snow_thickness_lwe_08,snow_thickness_08,vapour_pressure_08,2m_temperature_08,10m_wind_speed_08,2m_dewpoint_temperature_08,cloud_cover_09,snow_thickness_lwe_09,snow_thickness_09,vapour_pressure_09,2m_temperature_09,10m_wind_speed_09,2m_dewpoint_temperature_09,cloud_cover_10,snow_thickness_lwe_10,snow_thickness_10,vapour_pressure_10,2m_temperature_10,10m_wind_speed_10,2m_dewpoint_temperature_10,cloud_cover_11,snow_thickness_lwe_11,snow_thickness_11,vapour_pressure_11,2m_temperature_11,10m_wind_speed_11,2m_dewpoint_temperature_11,cloud_cover_12,snow_thickness_lwe_12,snow_thickness_12,vapour_pressure_12,2m_temperature_12,10m_wind_speed_12,2m_dewpoint_temperature_12
27,27,27,Angola,1988,19000.0,89474.0,170000.0,0.871730924,0.0,0.0,20.88849831,294.7018738,1.68477416,291.2117615,0.835160434,0.0,0.0,21.22942352,295.5777588,1.602749228,291.4330444,0.799774647,0.0,0.0,21.23236084,295.3677979,1.752847314,291.4775085,0.781570613,0.0,0.0,21.73518753,295.3212891,1.612611055,291.85672,0.300981969,0.0,0.0,15.44547081,295.648407,2.299830675,285.9889221,0.368721455,0.0,0.0,14.3950243,295.5405884,2.134731293,284.8524475,0.307713121,0.0,0.0,11.56979847,295.1784363,2.244235516,281.2798157,0.435997516,0.0,0.0,14.16096783,296.0584412,2.08826375,284.4400635,0.601235032,0.0,0.0,18.11523628,295.763031,1.877353191,288.7520447,0.709614456,0.0,0.0,20.03195,295.6366882,1.621423364,290.5319519,0.843375742,0.0,0.0,20.95002365,294.56427,1.412995219,291.3012085,0.905626357,0.0,0.0,21.17453194,294.3703308,1.378879666,291.4756775
28,28,28,Angola,1989,19000.0,86842.0,165000.0,0.852261484,0.0,0.0,18.95447731,294.3604736,1.965920687,289.5601807,0.86489284,0.0,0.0,19.53855705,294.8482971,1.798536301,289.992218,0.859103084,0.0,0.0,20.58830643,294.4191895,1.533131123,290.9833984,0.811389208,0.0,0.0,20.95004845,294.5521851,1.683836102,291.2563171,0.456812173,0.0,0.0,17.21193695,295.2384644,2.05668807,287.7037048,0.262846291,0.0,0.0,13.07058525,295.1811523,2.219850063,283.2349243,0.245218709,0.0,0.0,10.80980015,295.0728455,2.29263711,280.3822632,0.381125003,0.0,0.0,13.84640121,296.0253906,2.122354984,284.2059631,0.559746206,0.0,0.0,16.98382187,296.365509,2.030426502,287.5489197,0.719271541,0.0,0.0,19.9859333,295.2821045,1.626677513,290.5233459,0.752198935,0.0,0.0,20.95677376,295.5283203,1.562277675,291.2799377,0.860588491,0.0,0.0,20.73039436,294.9708862,1.661310792,291.1020813
29,29,29,Angola,1990,18457.0,89342.0,164899.0,0.878946006,0.0,0.0,19.93045807,295.0201721,1.744498968,290.3849792,0.89711231,0.0,0.0,20.95088387,294.910675,1.583480477,291.276947,0.8482427,0.0,0.0,21.71052742,294.9828491,1.415016532,291.8639221,0.68334651,0.0,0.0,20.72550392,295.4374695,1.598203778,291.0223999,0.491659969,0.0,0.0,18.46433067,295.4741821,1.912887931,288.909729,0.226974219,0.0,0.0,13.62328911,295.6658936,2.146313429,284.0792236,0.313146919,0.0,0.0,11.60982132,295.5157776,2.25074625,281.4231262,0.355202258,0.0,0.0,12.51337624,296.3044739,2.228632212,282.5577393,0.481217682,0.0,0.0,16.13443565,296.3043518,2.04266715,286.4770813,0.745827496,0.0,0.0,20.5416851,295.4387817,1.612936258,290.9803772,0.824853063,0.0,0.0,21.66511726,295.2920837,1.513692021,291.8523865,0.841148019,0.0,0.0,21.03286171,294.8463135,1.499589562,291.3486938
30,30,30,Angola,1991,20429.0,83215.0,170000.0,0.879229724,0.0,0.0,21.16138268,294.9468384,1.557398558,291.4482727,0.834899426,0.0,0.0,20.7550087,295.4582825,1.670716166,291.0759888,0.833137333,0.0,0.0,21.86197853,295.2464905,1.433244944,291.9825745,0.735468686,0.0,0.0,20.42573357,295.1221008,1.779649258,290.706543,0.562220037,0.0,0.0,17.61871338,295.8674316,1.843391418,287.862915,0.229638189,0.0,0.0,13.88811302,295.3739624,1.99328208,283.946991,0.281906754,0.0,0.0,12.09965134,295.356842,2.147246838,282.0975037,0.27471602,0.0,0.0,13.39973831,296.0460815,2.142804146,283.6116028,0.452128291,0.0,0.0,17.01493073,296.1665344,1.939303279,287.6627197,0.737234414,0.0,0.0,19.23763084,294.7616882,1.688951731,289.9020996,0.800246894,0.0,0.0,20.89383888,294.6831665,1.422863364,291.2577209,0.830928981,0.0,0.0,20.32575607,294.5462952,1.619345188,290.7047119
31,31,31,Angola,1992,20000.0,90000.0,180000.0,0.853387475,0.0,0.0,21.14710236,294.5101318,1.418090105,291.4455566,0.85473305,0.0,0.0,21.39300728,294.8172607,1.434821248,291.6319275,0.812303483,0.0,0.0,21.81264687,295.3822327,1.611665368,291.9354248,0.719946921,0.0,0.0,21.52576637,295.187439,1.545306325,291.6840515,0.483294904,0.0,0.0,17.72834778,295.2878723,1.886057258,288.1921387,0.217706338,0.0,0.0,13.57759953,294.702179,2.065460682,283.8776245,0.221430987,0.0,0.0,11.69417763,294.7341003,2.190695763,281.6887817,0.362198263,0.0,0.0,12.52915859,295.6421509,2.188534021,282.5806274,0.464997262,0.0,0.0,16.93661118,295.7054138,1.935165644,287.589325,0.778969824,0.0,0.0,19.99425888,294.9636841,1.695739746,290.5486145,0.844504178,0.0,0.0,20.73031616,294.6150208,1.540884852,291.1320496,0.861397445,0.0,0.0,20.9131031,294.7789307,1.614218235,291.25354
32,32,32,Angola,1993,21000.0,88095.0,185000.0,0.848262966,0.0,0.0,20.44303894,294.6586304,1.760336995,290.8357544,0.872217357,0.0,0.0,19.58117867,295.2469177,1.897639632,290.0230103,0.815648019,0.0,0.0,19.77705002,295.1407166,1.645077825,290.264801,0.768805325,0.0,0.0,21.38503075,294.9599304,1.564305663,291.5953674,0.459263593,0.0,0.0,17.86404228,295.5036926,1.921306491,288.2806091,0.199694738,0.0,0.0,13.11734962,295.0525208,2.188767195,283.2721558,0.20599249,0.0,0.0,11.48726463,295.4862671,2.279778719,281.3443909,0.373884588,0.0,0.0,13.59836483,295.960907,2.125564098,283.880249,0.487415791,0.0,0.0,16.31587029,295.9528503,1.974603534,286.5648193,0.750620782,0.0,0.0,20.71612358,295.3272095,1.525196791,291.1242676,0.820390403,0.0,0.0,21.11305428,294.9924622,1.495907903,291.4297485,0.854913294,0.0,0.0,21.70812225,294.9218445,1.344479561,291.8877869
33,33,33,Angola,1994,21575.0,83430.0,180000.0,0.827140689,0.0,0.0,19.2603569,295.257782,1.8288486,289.7557678,0.809599578,0.0,0.0,18.16926193,295.6431274,1.926921964,288.7193909,0.84852916,0.0,0.0,21.54935265,295.0319519,1.431219459,291.7368469,0.74631089,0.0,0.0,21.07450485,295.0543518,1.601177454,291.3100281,0.501726747,0.0,0.0,17.35406876,295.4212341,1.949924827,287.6777649,0.325046182,0.0,0.0,13.06806755,294.8018494,2.114952564,283.1947937,0.251448125,0.0,0.0,11.50076485,294.9695435,2.26184988,281.0815125,0.351566285,0.0,0.0,13.71062946,295.9574585,2.190030336,283.9205017,0.531467676,0.0,0.0,17.87546921,296.0247498,1.89631784,288.5262451,0.754013717,0.0,0.0,20.11727333,295.2897339,1.68618083,290.6211548,0.854339361,0.0,0.0,21.24555588,294.7444153,1.469780087,291.5295715,0.883314729,0.0,0.0,21.68931007,294.6791077,1.440155625,291.8683472
34,34,34,Angola,1995,22692.0,81527.0,185000.0,0.88209796,0.0,0.0,21.37704659,294.7580872,1.639481306,291.6157532,0.874519527,0.0,0.0,20.76979065,294.7140808,1.770662546,291.113678,0.834698975,0.0,0.0,21.51890182,295.0785217,1.55882895,291.7058411,0.753161073,0.0,0.0,20.7535038,295.6706848,1.777350545,290.9491882,0.521569967,0.0,0.0,18.74110031,295.8460388,1.896585941,289.1350403,0.229557425,0.0,0.0,12.89762974,295.2825928,2.152613163,282.7252502,0.281398594,0.0,0.0,10.97591305,295.4173279,2.216363907,280.3618774,0.446247071,0.0,0.0,14.80587101,296.5074158,2.158156395,285.2240906,0.566534877,0.0,0.0,17.23611069,296.2733765,2.013401985,287.6463013,0.729064941,0.0,0.0,20.16132927,295.5673218,1.705108166,290.6802979,0.838135719,0.0,0.0,21.43434334,294.8955994,1.422373295,291.6811523,0.85143429,0.0,0.0,20.97944069,294.7225952,1.479024172,291.3055115
35,35,35,Angola,1996,22000.0,85455.0,188000.0,0.87852782,0.0,0.0,20.07328224,294.8628235,1.699565053,290.5019226,0.865466654,0.0,0.0,20.28680801,295.1514282,1.724414706,290.7199097,0.867455184,0.0,0.0,21.41376495,294.8065491,1.519411564,291.6343384,0.69200176,0.0,0.0,20.52138519,295.3861694,1.736736774,290.7738037,0.450842768,0.0,0.0,17.59294891,295.9318848,1.877903581,287.9432678,0.229084462,0.0,0.0,12.22093868,294.9775391,2.143817425,281.8896484,0.227537498,0.0,0.0,10.3286562,295.2757874,2.158120394,279.6295166,0.351738244,0.0,0.0,12.79777718,296.5933838,2.190966129,283.0106506,0.561701417,0.0,0.0,16.96248627,296.2588806,2.003805637,287.6213989,0.65860498,0.0,0.0,19.61900711,295.5833435,1.74557519,290.2138672,0.797149777,0.0,0.0,20.57989502,294.769989,1.451132178,291.0167542,0.871496081,0.0,0.0,20.61863899,294.7167053,1.582099676,291.0365601
36,36,36,Angola,1997,23909.0,79050.0,189000.0,0.851524532,0.0,0.0,19.3426857,294.9490051,1.810859442,289.8136292,0.874889374,0.0,0.0,19.33203506,294.9530945,1.733698726,289.8314819,0.869097769,0.0,0.0,21.75762367,295.0160522,1.485235453,291.9086609,0.752575099,0.0,0.0,20.06178856,294.828125,1.751302242,290.4863892,0.390910834,0.0,0.0,16.41994476,295.3183289,1.875977159,286.9480286,0.238523483,0.0,0.0,13.27731037,295.6803284,2.033092022,283.5475769,0.213385507,0.0,0.0,10.15990829,295.8158264,2.412051201,279.5538025,0.275241673,0.0,0.0,12.50844097,296.7928467,2.221583605,282.3416748,0.495081931,0.0,0.0,18.51376343,296.3679504,1.830292106,289.1506042,0.718357921,0.0,0.0,20.86479759,295.6738892,1.611366034,291.1833496,0.803508043,0.0,0.0,20.97401237,295.0984192,1.616219044,291.277771,0.872040689,0.0,0.0,21.34284592,294.6759644,1.590680718,291.5924988
37,37,37,Angola,1998,24531.0,77453.0,190000.0,0.892727196,0.0,0.0,22.11028862,295.2052917,1.573420644,292.1778259,0.848729432,0.0,0.0,22.02648735,295.9226074,1.636193395,292.0957642,0.858834565,0.0,0.0,22.79199028,295.6113281,1.472327113,292.6694031,0.658753455,0.0,0.0,21.44518471,296.1594849,1.85900116,291.4676208,0.359289676,0.0,0.0,16.26473045,296.5158997,2.014605522,286.2383423,0.153165638,0.0,0.0,10.86466789,296.0897827,2.361570835,279.8442993,0.354566425,0.0,0.0,11.73021412,295.9844666,2.178881407,281.5843201,0.489928097,0.0,0.0,13.49975777,296.6686096,2.200503826,283.5967712,0.594754279,0.0,0.0,17.92661667,296.2989807,1.920490146,288.5469666,0.712548494,0.0,0.0,20.73483086,295.8570557,1.686203003,291.1242676,0.802238166,0.0,0.0,21.53215981,295.2227478,1.457795501,291.7412109,0.844331682,0.0,0.0,21.06933594,294.7287903,1.413557649,291.3802795
